batting_team,total_runs
Chennai Super Kings,1.3368080153830584
Deccan Chargers,1.268873145893292
Delhi Capitals,1.3776846516500785
Delhi Daredevils,1.2982007878207176
Gujarat Lions,1.363432417274257
Kings XI Punjab,1.332616692943481
Kochi Tuskers Kerala,1.2016434892541088
Kolkata Knight Riders,1.3145555662096078
Mumbai Indians,1.3178743534196915
Pune Warriors,1.1681058239941209
Rajasthan Royals,1.2971894517696045
Rising Pune Supergiant,1.3
Rising Pune Supergiants,1.3056962025316456
Royal Challengers Bangalore,1.3452267074803903
Sunrisers Hyderabad,1.3215835140997831
